GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0005783	endoplasmic reticulum	cellular_component	0.03196893	15	450	ENSAPLT00000009831, ENSAPLT00000016292, ENSAPLT00000013416, ENSAPLT00000013625, ENSAPLT00000014480, ENSAPLT00000008468, ENSAPLT00000011782, ENSAPLT00000015781, ENSAPLT00000006449, ENSAPLT00000003010, ENSAPLT00000014411, ENSAPLT00000014755, ENSAPLT00000009634, ENSAPLT00000010063, ENSAPLT00000004160	PIGG, LRRC8C, AATK, PLA2G4A, PTGS2, SEC62, CERS6, ITPR2, THBS4, PUM3, YTHDC2, USP25, MAMDC2, ELOVL7, GRIN2A
GO:0001657	ureteric bud development	biological_process	0.032949687	3	36	ENSAPLT00000010670, ENSAPLT00000011401, ENSAPLT00000001256	GDNF, CRLF1, SMAD7
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	biological_process	0.032949687	3	36	ENSAPLT00000009693, ENSAPLT00000009668, ENSAPLT00000001256	RNF180, DAB2, SMAD7
GO:0045211	postsynaptic membrane	cellular_component	0.033084335	4	62	ENSAPLT00000012605, ENSAPLT00000008306, ENSAPLT00000012651, ENSAPLT00000004160	LRRC4, GRIN3A, GRIA4, GRIN2A
GO:0008536	Ran GTPase binding	molecular_function	0.033895252	2	15	ENSAPLT00000009795, ENSAPLT00000010077	IPO11, unknow
GO:0009395	phospholipid catabolic process	biological_process	0.033895252	2	15	ENSAPLT00000013625, ENSAPLT00000011198	PLA2G4A, PLCG2
GO:0031941	filamentous actin	cellular_component	0.033895252	2	15	ENSAPLT00000003170, ENSAPLT00000009828	IQGAP2, MAP3K1
GO:0000132	establishment of mitotic spindle orientation	biological_process	0.038245792	2	16	ENSAPLT00000003284, ENSAPLT00000012065	FGF10, SPRY2
GO:0008589	regulation of smoothened signaling pathway	biological_process	0.038245792	2	16	ENSAPLT00000003284, ENSAPLT00000013331	FGF10, PTCH1
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation	biological_process	0.038245792	2	16	ENSAPLT00000004798, ENSAPLT00000009668	INHBA, DAB2
GO:0033137	negative regulation of peptidyl-serine phosphorylation	biological_process	0.038245792	2	16	ENSAPLT00000001256, ENSAPLT00000005615	SMAD7, PDE4D
