GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0005829	cytosol	cellular_component	0.007202567	22	441	"ENSAPLT00000005975, ENSAPLT00000009394, ENSAPLT00000016451, ENSAPLT00000012953, ENSAPLT00000004287, ENSAPLT00000013146, ENSAPLT00000010685, ENSAPLT00000010287, ENSAPLT00000014118, ENSAPLT00000013625, ENSAPLT00000012065, ENSAPLT00000014571, ENSAPLT00000012592, ENSAPLT00000013225, ENSAPLT00000005454, ENSAPLT00000012376, ENSAPLT00000015405, ENSAPLT00000003400, ENSAPLT00000014042, ENSAPLT00000002477, ENSAPLT00000005433, ENSAPLT00000005446"	"PLIN2, PLEKHA5, DNAJA1, TLE1, RIC1, PHACTR1, PACRG, PLCZ1, FANCC, PLA2G4A, SPRY2, MOCS2, BCL2L14, EDN1, DENND4C, PDCD6IP, PRKD1, RXFP3, CDO1, ZAP70, VPS41, CAPN1"
GO:0043410	positive regulation of MAPK cascade	biological_process	0.007300623	6	61	"ENSAPLT00000004290, ENSAPLT00000010445, ENSAPLT00000005923, ENSAPLT00000003284, ENSAPLT00000016642, ENSAPLT00000001014"	"KIT, LPAR1, KDR, FGF10, GPR37, F2R"
GO:0004115	"3,5-cyclic-AMP phosphodiesterase activity"	molecular_function	0.007502618	2	5	"ENSAPLT00000007678, ENSAPLT00000005615"	"PDE8B, PDE4D"
GO:0005579	membrane attack complex	cellular_component	0.007502618	2	5	"ENSAPLT00000009361, ENSAPLT00000009483"	"C9, C7"
GO:0015057	thrombin receptor activity	molecular_function	0.007502618	2	5	"ENSAPLT00000004601, ENSAPLT00000001014"	"F2RL2, F2R"
GO:0060541	respiratory system development	biological_process	0.007502618	2	5	"ENSAPLT00000003284, ENSAPLT00000012065"	"FGF10, SPRY2"
GO:0008081	phosphoric diester hydrolase activity	molecular_function	0.00766997	5	44	"ENSAPLT00000010287, ENSAPLT00000011198, ENSAPLT00000007678, ENSAPLT00000005615, ENSAPLT00000010667"	"PLCZ1, PLCG2, PDE8B, PDE4D, PLCXD3"
GO:0030855	epithelial cell differentiation	biological_process	0.008433546	5	45	"ENSAPLT00000016966, ENSAPLT00000003284, ENSAPLT00000008990, ENSAPLT00000006717, ENSAPLT00000016974"	"DLX6, FGF10, UPK3A, KRT4, DLX5"
GO:0031398	positive regulation of protein ubiquitination	biological_process	0.008433546	5	45	"ENSAPLT00000009693, ENSAPLT00000004354, ENSAPLT00000001815, ENSAPLT00000001256, ENSAPLT00000011876"	"RNF180, STUB1, NGF, SMAD7, NDFIP2"
GO:0051145	smooth muscle cell differentiation	biological_process	0.009495603	3	16	"ENSAPLT00000011034, ENSAPLT00000014702, ENSAPLT00000003284"	"WNT7B, MKL2, FGF10"
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	biological_process	0.009495603	3	16	"ENSAPLT00000001385, ENSAPLT00000010670, ENSAPLT00000003284"	"CX3CR1, GDNF, FGF10"
GO:0008237	metallopeptidase activity	molecular_function	0.010794662	8	107	"ENSAPLT00000002531, ENSAPLT00000002772, ENSAPLT00000008244, ENSAPLT00000004766, ENSAPLT00000012849, ENSAPLT00000015181, ENSAPLT00000006867, ENSAPLT00000013128"	"ADAMTS12, ADAMTS10, ECE2, ADAMTS19, MMP23B, BMP1, unknow, PHEX"
GO:0010801	negative regulation of peptidyl-threonine phosphorylation	biological_process	0.011044711	2	6	"ENSAPLT00000012065, ENSAPLT00000001256"	"SPRY2, SMAD7"
GO:0042428	serotonin metabolic process	biological_process	0.011044711	2	6	"ENSAPLT00000009693, ENSAPLT00000004160"	"RNF180, GRIN2A"
GO:0060428	lung epithelium development	biological_process	0.011044711	2	6	"ENSAPLT00000011034, ENSAPLT00000003284"	"WNT7B, FGF10"
GO:0060425	lung morphogenesis	biological_process	0.011292537	3	17	"ENSAPLT00000011034, ENSAPLT00000003284, ENSAPLT00000012065"	"WNT7B, FGF10, SPRY2"
GO:0009897	external side of plasma membrane	cellular_component	0.011953296	9	131	"ENSAPLT00000004290, ENSAPLT00000002682, ENSAPLT00000005923, ENSAPLT00000004801, ENSAPLT00000001209, ENSAPLT00000013895, ENSAPLT00000013907, ENSAPLT00000003660, ENSAPLT00000012265"	"KIT, DLK1, KDR, CD274, MUC16, SCUBE1, ITGA1, unknow, IL31RA"
