GO_Accession	GO_term_name	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0035887	aortic smooth muscle cell differentiation	0.019572726	1	1	ENSAPLT00000014555	SMARCA2
GO:0036119	response to platelet-derived growth factor	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038028	insulin receptor signaling pathway via phosphatidylinositol 3-kinase	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038095	Fc-epsilon receptor signaling pathway	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0038154	interleukin-11-mediated signaling pathway	0.019572726	1	1	ENSAPLT00000012487	IL6ST
GO:0042089	cytokine biosynthetic process	0.019572726	1	1	ENSAPLT00000015651	PCSK5
GO:0042313	protein kinase C deactivation	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0042659	regulation of cell fate specification	0.019572726	1	1	ENSAPLT00000015323	LMO4
GO:0042883	cysteine transport	0.019572726	1	1	ENSAPLT00000015672	SLC1A1
GO:0043056	forward locomotion	0.019572726	1	1	ENSAPLT00000014588	TTN
GO:0043179	rhythmic excitation	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0043438	acetoacetic acid metabolic process	0.019572726	1	1	ENSAPLT00000014021	TYRP1
GO:0044252	negative regulation of multicellular organismal metabolic process	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0045123	cellular extravasation	0.019572726	1	1	ENSAPLT00000013907	ITGA1
GO:0046439	L-cysteine metabolic process	0.019572726	1	1	ENSAPLT00000014042	CDO1
GO:0046456	icosanoid biosynthetic process	0.019572726	1	1	ENSAPLT00000013625	PLA2G4A
GO:0046880	regulation of follicle-stimulating hormone secretion	0.019572726	1	1	ENSAPLT00000004798	INHBA
GO:0048144	fibroblast proliferation	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0048880	sensory system development	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0050674	urothelial cell proliferation	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0050677	positive regulation of urothelial cell proliferation	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0050865	regulation of cell activation	0.019572726	1	1	ENSAPLT00000015323	LMO4
GO:0050904	diapedesis	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0051171	regulation of nitrogen compound metabolic process	0.019572726	1	1	ENSAPLT00000001777	unknow
GO:0060419	heart growth	0.019572726	1	1	ENSAPLT00000014588	TTN
GO:0060436	bronchiole morphogenesis	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060482	lobar bronchus development	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0060496	mesenchymal-epithelial cell signaling involved in lung development	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060560	developmental growth involved in morphogenesis	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0060661	submandibular salivary gland formation	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060879	semicircular canal fusion	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0060913	cardiac cell fate determination	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0061115	lung proximal/distal axis specification	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0061485	memory T cell proliferation	0.019572726	1	1	ENSAPLT00000013317	DOCK8
GO:0061580	colon epithelial cell migration	0.019572726	1	1	ENSAPLT00000009736	ARSB
GO:0070075	tear secretion	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0070106	interleukin-27-mediated signaling pathway	0.019572726	1	1	ENSAPLT00000012487	IL6ST
